gruppo	nomeGruppo	senatore	nome	cognome	carica	carica_en	inizio	fine	legislatura	provenance
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29067	Gian Marco	Centinaio	Membro	Member	2013-03-19	2013-03-19	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22963	Massimo	Garavaglia	Membro	Member	2013-03-19	2013-05-07	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/2419	Giulio	Tremonti	Membro	Member	2013-03-19	2013-05-07	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22730	Michelino	Davico	Membro	Member	2013-03-19	2013-12-12	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25556	Massimo	Bitonci	Presidente	President	2013-03-19	2014-07-02	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29059	Stefano	Candiani	Membro	Member	2013-03-19	2014-07-14	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29185	Erika	Stefani	Membro	Member	2013-03-19	2014-07-14	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/20001	Raffaele	Volpi	Vicepresidente	Vice president	2013-03-19	2014-07-14	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22735	Sergio	Divina	Vicepresidente	Vice president	2013-03-19	2015-02-23	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29043	Raffaela	Bellot	Membro	Member	2013-03-19	2015-03-25	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22551	Patrizia	Bisinella	Membro	Member	2013-03-19	2015-03-25	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25449	Emanuela	Munerato	Membro	Member	2013-03-19	2015-03-25	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/422	Roberto	Calderoli	Membro	Member	2013-03-19	2017-10-29	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29039	Paolo	Arrigoni	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25531	Silvana Andreina	Comaroli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25528	Nunziante	Consiglio	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/4569	Giacomo	Stucchi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/8988	Paolo	Naccarato	Membro	Member	2013-05-07	2013-05-07	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29067	Gian Marco	Centinaio	Membro	Member	2013-05-08	2014-07-07	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25359	Jonny	Crosio	Membro	Member	2013-05-08	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/30915	Paolo	Tosato	Membro	Member	2014-07-03	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29067	Gian Marco	Centinaio	Presidente	President	2014-07-08	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29059	Stefano	Candiani	Vicepresidente Vicario	Deputy vice president	2014-07-15	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29185	Erika	Stefani	Vicepresidente	Vice president	2014-07-15	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/20001	Raffaele	Volpi	Membro	Member	2014-07-15	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22735	Sergio	Divina	Membro	Member	2015-02-24	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29078	Erica	D'Adda	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25225	Rita	Ghedini	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29116	Stefano	Lepri	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29124	Patrizia	Manassero	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29131	Claudio	Martini	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29134	Giuseppina	Maturani	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22767	Carlo	Pegorer	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29172	Francesco	Russo	Membro	Member	2013-03-19	2013-04-08	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22759	Ignazio	Marino	Membro	Member	2013-03-19	2013-05-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	Membro	Member	2013-03-19	2013-06-18	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29200	Daniela	Valentini	Membro	Member	2013-03-19	2013-06-18	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29085	Mauro	Del Barba	Membro	Member	2013-03-19	2014-06-23	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29082	Isabella	De Monte	Membro	Member	2013-03-19	2014-06-30	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23135	Salvatore	Margiotta	Membro	Member	2013-03-19	2014-12-10	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29137	Corradino	Mineo	Membro	Member	2013-03-19	2015-10-28	17	variazioni_gruppi_17
