gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29119	Sergio	Lo Giudice	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25511	Stefano	Esposito	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29109	Miguel	Gotor	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29167	Lucrezia	Ricchiuti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29097	Rosanna	Filippin	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29047	Amedeo	Bianco	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29092	Camilla	Fabbri	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/12379	Marco	Minniti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29162	Stefania	Pezzopane	Membro	2013-03-22	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29165	Francesca	Puglisi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29060	Laura	Cantini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29170	Gianluca	Rossi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/18499	Monica	Cirinna'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22706	Silvana	Amati	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23080	Salvatore	Tomaselli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/28580	Maria Cecilia	Guerra	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22337	Felice	Casson	Membro	2013-03-19	17
