idSpeaker	affilialtion_to	role	from	to
28576	GOV.LETTA.1	sottosegretario di Stato per lo sviluppo economico	2013-05-03	2014-02-21
28576	GOV.RENZI.1	vice ministro dello sviluppo economico	2014-02-28	2015-04-10
28576	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2015-04-10	2016-12-11
28576	GOV.GENTILONI.1	ministro per la coesione territoriale e il Mezzogiorno	2016-12-12	2018-05-31
30753	GOV.RENZI.1	sottosegretario di Stato per l'ambiente e la tutela del territorio e del mare	2014-02-28	2016-12-11
30753	GOV.GENTILONI.1	sottosegretario di Stato per l'ambiente e la tutela del territorio e del mare	2016-12-29	2018-05-31
22973	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-28	2016-12-11
22973	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-12-29	2018-05-31
30109	GOV.LETTA.1	sottosegretario di Stato per la giustizia	2013-05-03	2014-02-21
30109	GOV.RENZI.1	sottosegretario di Stato per la giustizia	2014-02-28	2016-12-11
30109	GOV.GENTILONI.1	sottosegretario di Stato per la giustizia	2016-12-29	2018-05-31
29295	GOV.RENZI.1	ministro per le riforme costituzionali e i rapporti con il Parlamento	2014-02-22	2016-12-11
29295	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-12-12	2018-05-31
25522	GOV.LETTA.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2013-05-03	2014-02-21
22961	GOV.GENTILONI.1	ministro dell'ambiente e della tutela del territorio e del mare	2016-12-12	2018-05-31
1641	GOV.RENZI.1	vice ministro dell'economia e delle finanze	2014-02-28	2016-12-11
1641	GOV.GENTILONI.1	sottosegretario di Stato per l'economia e le finanze	2016-12-29	2017-01-16
1641	GOV.GENTILONI.1	vice ministro dell'economia e delle finanze	2017-01-16	2018-05-31
25563	GOV.LETTA.1	sottosegretario di Stato per l'economia e le finanze	2013-05-03	2014-02-21
25563	GOV.GENTILONI.1	sottosegretario di Stato per l'economia e le finanze	2016-12-29	2018-05-31
25563	GOV.RENZI.1	sottosegretario di Stato per l'economia e le finanze	2014-02-28	2016-12-11
25563	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2021-02-12
30751	GOV.GENTILONI.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2016-12-29	2018-05-31
30751	GOV.RENZI.1	sottosegretario di Stato per la salute	2014-02-28	2016-12-11
25472	GOV.RENZI.1	ministro per la semplificazione e la pubblica amministrazione	2014-02-22	2016-12-11
25472	GOV.GENTILONI.1	ministro per la semplificazione e la pubblica amministrazione	2016-12-12	2018-05-31
29343	GOV.CONTE.1	sottosegretario di Stato per il lavoro e le politiche sociali	2018-06-13	2019-09-04
33749	GOV.CONTE.1	presidente del Consiglio dei ministri	2018-06-01	2019-09-04
33749	GOV.CONTE.2	presidente del Consiglio dei ministri	2019-09-05	2021-02-12
4450	GOV.LETTA.1	sottosegretario di Stato per l'economia e le finanze	2013-05-03	2014-02-21
29325	GOV.CONTE.1	sottosegretario di Stato per l'economia e le finanze	2018-06-13	2019-03-22
29325	GOV.CONTE.1	vice ministro dell'economia e delle finanze	2019-03-22	2019-09-04
29325	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2020-09-03
29325	GOV.CONTE.2	vice ministro dell'economia e delle finanze	2020-09-03	2021-02-12
30107	GOV.LETTA.1	sottosegretario di Stato per l'interno	2013-05-03	2014-02-21
30107	GOV.GENTILONI.1	sottosegretario di Stato per l'interno	2016-12-29	2018-05-31
30107	GOV.RENZI.1	sottosegretario di Stato per l'interno	2014-02-28	2016-12-11
29332	GOV.GENTILONI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2016-12-29	2018-05-31
29332	GOV.RENZI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2016-01-29	2016-12-11
29561	GOV.GENTILONI.1	sottosegretario di Stato per la difesa	2016-12-29	2018-05-31
29561	GOV.RENZI.1	sottosegretario di Stato per la difesa	2014-02-28	2016-12-11
22911	GOV.RENZI.1	vice ministro della giustizia	2014-02-28	2016-01-29
22911	GOV.RENZI.1	ministro per gli affari regionali e le autonomie	2016-02-10	2016-12-11
22911	GOV.GENTILONI.1	ministro per gli affari regionali	2016-12-12	2017-07-20
21516	GOV.LETTA.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2013-05-03	2014-02-21
21516	GOV.RENZI.1	sottosegretario di Stato per l'economia e le finanze	2014-02-28	2014-09-25
32989	GOV.CONTE.1	sottosegretario di Stato per la giustizia	2018-06-13	2019-09-04
