gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29119	Sergio	Lo Giudice	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25511	Stefano	Esposito	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29200	Daniela	Valentini	Segretario	2013-06-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29172	Francesco	Russo	Segretario d'Aula	2015-10-22	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29097	Rosanna	Filippin	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23135	Salvatore	Margiotta	Membro	2016-03-01	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29047	Amedeo	Bianco	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29092	Camilla	Fabbri	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/12379	Marco	Minniti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29162	Stefania	Pezzopane	Membro	2013-03-22	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29165	Francesca	Puglisi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29060	Laura	Cantini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29170	Gianluca	Rossi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/18499	Monica	Cirinna'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22706	Silvana	Amati	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23080	Salvatore	Tomaselli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29094	Emma	Fattorini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25224	Gian Carlo	Sangalli	Membro	2013-03-19	17
