gruppo	nomeGruppo	senatore	nome	cognome	inizio	fine	carica	legislatura
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29067	Gian Marco	Centinaio	2013-03-19	2013-03-19	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22963	Massimo	Garavaglia	2013-03-19	2013-05-07	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/2419	Giulio	Tremonti	2013-03-19	2013-05-07	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22730	Michelino	Davico	2013-03-19	2013-12-12	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25556	Massimo	Bitonci	2013-03-19	2014-07-02	Presidente	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29059	Stefano	Candiani	2013-03-19	2014-07-14	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29185	Erika	Stefani	2013-03-19	2014-07-14	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/20001	Raffaele	Volpi	2013-03-19	2014-07-14	Vicepresidente	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22735	Sergio	Divina	2013-03-19	2015-02-23	Vicepresidente	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/29043	Raffaela	Bellot	2013-03-19	2015-03-25	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/22551	Patrizia	Bisinella	2013-03-19	2015-03-25	Membro	17
http://dati.senato.it/gruppo/33	Lega Nord e Autonomie	http://dati.senato.it/senatore/25449	Emanuela	Munerato	2013-03-19	2015-03-25	Membro	17
