gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	fineAdesione	legislatura	provenance	urlscheda
http://dati.senato.it/gruppo/49	Partito Democratico	29119	Sergio	Lo Giudice	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029119.htm
http://dati.senato.it/gruppo/49	Partito Democratico	25511	Stefano	Esposito	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025511.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29097	Rosanna	Filippin	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029097.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29047	Amedeo	Bianco	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029047.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29092	Camilla	Fabbri	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029092.htm
http://dati.senato.it/gruppo/49	Partito Democratico	12379	Marco	Minniti	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00012379.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29162	Stefania	Pezzopane	Membro	2013-03-22	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029162.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29165	Francesca	Puglisi	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029165.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29060	Laura	Cantini	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029060.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29170	Gianluca	Rossi	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029170.htm
http://dati.senato.it/gruppo/49	Partito Democratico	18499	Monica	Cirinna'	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00018499.htm
http://dati.senato.it/gruppo/49	Partito Democratico	22706	Silvana	Amati	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00022706.htm
http://dati.senato.it/gruppo/49	Partito Democratico	23080	Salvatore	Tomaselli	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00023080.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29094	Emma	Fattorini	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029094.htm
http://dati.senato.it/gruppo/49	Partito Democratico	25224	Gian Carlo	Sangalli	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00025224.htm
http://dati.senato.it/gruppo/49	Partito Democratico	22740	Marco	Filippi	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00022740.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29098	Elena	Fissore	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029098.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29157	Annamaria	Parente	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029157.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29184	Maria	Spilabotte	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029184.htm
http://dati.senato.it/gruppo/49	Partito Democratico	2430	Mario	Tronti	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00002430.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29153	Giorgio	Pagliari	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029153.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29144	Claudio	Moscardelli	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029144.htm
http://dati.senato.it/gruppo/49	Partito Democratico	29062	Valeria	Cardinali	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029062.htm
http://dati.senato.it/gruppo/49	Partito Democratico	22770	Leana	Pignedoli	Membro	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00022770.htm
http://dati.senato.it/gruppo/49	Partito Democratico	20658	Luigi	Zanda	Presidente	2013-03-19	2018-03-22	17	inizio	http://www.senato.it/leg/17/BGT/Schede/Attsen/00020658.htm
